src,irsstub,incrange,variable,value,table_description,column_description
18in11si.xls,2,"$1 under $5,000",nret_ti,134612,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Number of returns with taxable income
18in11si.xls,3,"$5,000 under $10,000",nret_ti,176963,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Number of returns with taxable income
18in11si.xls,4,"$10,000 under $15,000",nret_ti,2559403,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Number of returns with taxable income
18in11si.xls,5,"$15,000 under $20,000",nret_ti,4978263,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Number of returns with taxable income
18in11si.xls,6,"$20,000 under $25,000",nret_ti,5131633,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Number of returns with taxable income
18in11si.xls,7,"$25,000 under $30,000",nret_ti,5365977,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Number of returns with taxable income
18in11si.xls,8,"$30,000 under $40,000",nret_ti,10585163,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Number of returns with taxable income
18in11si.xls,9,"$40,000 under $50,000",nret_ti,9693833,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Number of returns with taxable income
18in11si.xls,10,"$50,000 under $75,000",nret_ti,19122249,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Number of returns with taxable income
18in11si.xls,11,"$75,000 under $100,000",nret_ti,13149606,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Number of returns with taxable income
18in11si.xls,12,"$100,000 under $200,000",nret_ti,20980805,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Number of returns with taxable income
18in11si.xls,13,"$200,000 under $500,000",nret_ti,6890716,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Number of returns with taxable income
18in11si.xls,14,"$500,000 under $1,000,000",nret_ti,1106844,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Number of returns with taxable income
18in11si.xls,15,"$1,000,000 under $1,500,000",nret_ti,241406,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Number of returns with taxable income
18in11si.xls,16,"$1,500,000 under $2,000,000",nret_ti,98446,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Number of returns with taxable income
18in11si.xls,17,"$2,000,000 under $5,000,000",nret_ti,141787,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Number of returns with taxable income
18in11si.xls,18,"$5,000,000 under $10,000,000",nret_ti,34727,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Number of returns with taxable income
18in11si.xls,19,"$10,000,000 or more",nret_ti,22078,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Number of returns with taxable income
18in11si.xls,0,All returns,ti,8641495369,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Taxable income
18in11si.xls,1,No adjusted gross income,ti,0,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Taxable income
18in11si.xls,2,"$1 under $5,000",ti,185958,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Taxable income
18in11si.xls,3,"$5,000 under $10,000",ti,560300,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Taxable income
18in11si.xls,4,"$10,000 under $15,000",ti,4420629,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Taxable income
18in11si.xls,5,"$15,000 under $20,000",ti,25840759,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Taxable income
18in11si.xls,6,"$20,000 under $25,000",ti,51173484,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Taxable income
18in11si.xls,7,"$25,000 under $30,000",ti,72672614,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Taxable income
18in11si.xls,8,"$30,000 under $40,000",ti,214408669,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Taxable income
18in11si.xls,9,"$40,000 under $50,000",ti,280711067,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Taxable income
18in11si.xls,10,"$50,000 under $75,000",ti,827972725,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Taxable income
18in11si.xls,11,"$75,000 under $100,000",ti,852044779,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Taxable income
18in11si.xls,12,"$100,000 under $200,000",ti,2313568446,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Taxable income
18in11si.xls,13,"$200,000 under $500,000",ti,1720267300,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Taxable income
18in11si.xls,14,"$500,000 under $1,000,000",ti,678517397,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Taxable income
18in11si.xls,15,"$1,000,000 under $1,500,000",ti,264735162,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Taxable income
18in11si.xls,16,"$1,500,000 under $2,000,000",ti,154261129,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Taxable income
18in11si.xls,17,"$2,000,000 under $5,000,000",ti,382138704,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Taxable income
18in11si.xls,18,"$5,000,000 under $10,000,000",ti,215731472,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Taxable income
18in11si.xls,19,"$10,000,000 or more",ti,582284773,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Taxable income
18in11si.xls,0,All returns,taxac,100403120,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Income tax after credits
18in11si.xls,1,No adjusted gross income,taxac,0,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Income tax after credits
18in11si.xls,2,"$1 under $5,000",taxac,139304,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Income tax after credits
18in11si.xls,3,"$5,000 under $10,000",taxac,177974,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Income tax after credits
18in11si.xls,4,"$10,000 under $15,000",taxac,2559412,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Income tax after credits
18in11si.xls,5,"$15,000 under $20,000",taxac,4978339,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Income tax after credits
18in11si.xls,6,"$20,000 under $25,000",taxac,5131634,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Income tax after credits
18in11si.xls,7,"$25,000 under $30,000",taxac,5365983,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Income tax after credits
18in11si.xls,8,"$30,000 under $40,000",taxac,10584232,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Income tax after credits
18in11si.xls,9,"$40,000 under $50,000",taxac,9693866,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Income tax after credits
18in11si.xls,10,"$50,000 under $75,000",taxac,19121652,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Income tax after credits
18in11si.xls,11,"$75,000 under $100,000",taxac,13149633,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Income tax after credits
18in11si.xls,12,"$100,000 under $200,000",taxac,20976903,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Income tax after credits
18in11si.xls,13,"$200,000 under $500,000",taxac,6882287,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Income tax after credits
18in11si.xls,14,"$500,000 under $1,000,000",taxac,1104444,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Income tax after credits
18in11si.xls,15,"$1,000,000 under $1,500,000",taxac,241068,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Income tax after credits
18in11si.xls,16,"$1,500,000 under $2,000,000",taxac,98248,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Income tax after credits
18in11si.xls,17,"$2,000,000 under $5,000,000",taxac,141489,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Income tax after credits
18in11si.xls,18,"$5,000,000 under $10,000,000",taxac,34646,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Income tax after credits
18in11si.xls,19,"$10,000,000 or more",taxac,22010,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Income tax after credits
18in11si.xls,0,All returns,taxtot,1538749447,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Total income tax
18in11si.xls,1,No adjusted gross income,taxtot,138630,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Total income tax
18in11si.xls,2,"$1 under $5,000",taxtot,18253,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Total income tax
18in11si.xls,3,"$5,000 under $10,000",taxtot,42202,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Total income tax
18in11si.xls,4,"$10,000 under $15,000",taxtot,391728,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Total income tax
18in11si.xls,5,"$15,000 under $20,000",taxtot,2446560,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Total income tax
18in11si.xls,6,"$20,000 under $25,000",taxtot,5100952,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Total income tax
18in11si.xls,7,"$25,000 under $30,000",taxtot,7346616,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Total income tax
18in11si.xls,8,"$30,000 under $40,000",taxtot,21772498,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Total income tax
18in11si.xls,9,"$40,000 under $50,000",taxtot,27712569,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Total income tax
18in11si.xls,10,"$50,000 under $75,000",taxtot,89654102,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Total income tax
18in11si.xls,11,"$75,000 under $100,000",taxtot,97172107,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Total income tax
18in11si.xls,12,"$100,000 under $200,000",taxtot,320536619,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Total income tax
18in11si.xls,13,"$200,000 under $500,000",taxtot,327805680,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Total income tax
18in11si.xls,14,"$500,000 under $1,000,000",taxtot,173214875,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Total income tax
18in11si.xls,15,"$1,000,000 under $1,500,000",taxtot,75621335,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Total income tax
18in11si.xls,16,"$1,500,000 under $2,000,000",taxtot,45715931,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Total income tax
18in11si.xls,17,"$2,000,000 under $5,000,000",taxtot,115810423,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Total income tax
18in11si.xls,18,"$5,000,000 under $10,000,000",taxtot,65049446,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Total income tax
18in11si.xls,19,"$10,000,000 or more",taxtot,163198922,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income",Total income tax
18in12ms.xls,0,"All returns, total",nret_all,153774296,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Number of returns
18in12ms.xls,1,No adjusted gross income (includes deficits),nret_all,1962253,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Number of returns
18in12ms.xls,2,"$1 under $5,000",nret_all,9187650,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Number of returns
18in12ms.xls,3,"$5,000 under $10,000",nret_all,10014109,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Number of returns
18in12ms.xls,4,"$10,000 under $15,000",nret_all,11454274,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Number of returns
18in12ms.xls,5,"$15,000 under $20,000",nret_all,10187149,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Number of returns
18in12ms.xls,6,"$20,000 under $25,000",nret_all,9610628,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Number of returns
18in12ms.xls,7,"$25,000 under $30,000",nret_all,8984412,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Number of returns
18in12ms.xls,8,"$30,000 under $40,000",nret_all,15510580,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Number of returns
18in12ms.xls,9,"$40,000 under $50,000",nret_all,12017312,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Number of returns
18in12ms.xls,10,"$50,000 under $75,000",nret_all,21460676,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Number of returns
18in12ms.xls,11,"$75,000 under $100,000",nret_all,13685409,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Number of returns
18in12ms.xls,12,"$100,000 under $200,000",nret_all,21146537,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Number of returns
18in12ms.xls,13,"$200,000 under $500,000",nret_all,6905670,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Number of returns
18in12ms.xls,14,"$500,000 under $1,000,000",nret_all,1108430,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Number of returns
18in12ms.xls,15,"$1,000,000 under $1,500,000",nret_all,241713,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Number of returns
18in12ms.xls,16,"$1,500,000 under $2,000,000",nret_all,98583,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Number of returns
18in12ms.xls,17,"$2,000,000 under $5,000,000",nret_all,142011,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Number of returns
18in12ms.xls,18,"$5,000,000 under $10,000,000",nret_all,34788,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Number of returns
18in12ms.xls,19,"$10,000,000 or more",nret_all,22112,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Number of returns
18in12ms.xls,0,"All returns, total",agi,11643439106,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Adjusted gross income less deficit
18in12ms.xls,1,No adjusted gross income (includes deficits),agi,-201976721,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Adjusted gross income less deficit
18in12ms.xls,2,"$1 under $5,000",agi,23842449,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Adjusted gross income less deficit
18in12ms.xls,3,"$5,000 under $10,000",agi,75308230,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Adjusted gross income less deficit
18in12ms.xls,4,"$10,000 under $15,000",agi,143054046,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Adjusted gross income less deficit
18in12ms.xls,5,"$15,000 under $20,000",agi,177906312,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Adjusted gross income less deficit
18in12ms.xls,6,"$20,000 under $25,000",agi,216239910,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Adjusted gross income less deficit
18in12ms.xls,7,"$25,000 under $30,000",agi,246501955,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Adjusted gross income less deficit
18in12ms.xls,8,"$30,000 under $40,000",agi,540526136,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Adjusted gross income less deficit
18in12ms.xls,9,"$40,000 under $50,000",agi,538359657,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Adjusted gross income less deficit
18in12ms.xls,10,"$50,000 under $75,000",agi,1321704614,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Adjusted gross income less deficit
18in12ms.xls,11,"$75,000 under $100,000",agi,1185611667,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Marital Status",Adjusted gross income less deficit
